,level_0,index, ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,area_bbx_ratio
49,50,664,705,C2-Adipocites (2).tif,10386,3333.2140000000004,2425.672,1241.4260000000002,3247,2352,153,129,126.13799999999999,104.836,16.792,156.952,255,100,3247,2434,12.885,121.516,0.5262
50,51,665,403,C2-Adipocites (2).tif,10031,3834.739,1453.876,951.803,3765,1387,140,130,139.886,91.302,34.076,154.625,255,100,3771,1497,37.907,101.625,0.5512
51,52,666,590,C2-Adipocites (2).tif,10312,1352.595,2024.318,780.666,1279,1954,141,126,136.911,95.899,153.659,150.602,255,100,1288,1978,146.099,107.23299999999999,0.5804
52,53,667,706,C2-Adipocites (2).tif,10598,1209.132,2412.596,814.08,1129,2357,140,120,124.09,108.742,179.08,143.09799999999998,255,100,1129,2413,13.745,116.81299999999999,0.6308
53,54,668,614,C2-Adipocites (2).tif,10589,1226.483,2091.637,946.288,1150,2033,144,115,125.064,107.804,165.113,146.891,255,100,1150,2087,168.614,115.0,0.6394
54,55,669,351,C2-Adipocites (2).tif,10652,3800.224,1315.7279999999998,1076.715,3740,1246,135,139,124.711,108.75200000000001,148.959,151.611,255,100,3740,1265,152.928,126.28399999999999,0.5677
55,56,670,323,C2-Adipocites (2).tif,10668,3251.28,1214.577,987.561,3184,1138,129,147,126.20700000000001,107.624,84.39200000000001,149.466,255,100,3235,1139,102.36200000000001,122.715,0.5626
56,57,671,215,C2-Adipocites (2).tif,10590,1421.3570000000002,934.1139999999999,1260.823,1366,857,117,158,140.689,95.84,107.398,159.138,255,100,1412,857,96.85700000000001,109.70100000000001,0.5729
57,58,672,91,C2-Adipocites (2).tif,10227,2187.294,503.705,1342.764,2105,444,167,114,150.77,86.366,6.746,176.706,255,100,2109,549,25.115,109.079,0.5372
58,59,673,648,C2-Adipocites (2).tif,10643,2835.762,2200.9610000000002,1299.4080000000001,2762,2131,149,150,144.241,93.948,135.403,161.245,255,100,2792,2133,113.385,117.294,0.4762
59,60,674,740,C2-Adipocites (2).tif,11074,977.3960000000001,2679.6059999999998,1006.673,903,2617,145,129,130.278,108.229,171.15599999999998,152.506,255,100,904,2653,159.664,125.39399999999999,0.592
60,61,675,250,C2-Adipocites (2).tif,11104,3116.055,1005.054,1369.835,3038,933,151,139,129.063,109.54299999999999,21.784000000000002,152.594,255,100,3038,998,8.289,131.224,0.529
61,62,676,594,C2-Adipocites (2).tif,11167,1078.9660000000001,2023.779,749.453,1002,1959,143,132,129.175,110.07,164.50900000000001,146.24,255,100,1003,2010,153.61,125.855,0.5916
62,63,677,317,C2-Adipocites (2).tif,11101,3521.616,1181.539,1459.4920000000002,3456,1107,154,154,136.67600000000002,103.414,59.769,166.817,255,100,3460,1230,37.694,129.793,0.4681
63,64,678,661,C2-Adipocites (2).tif,11180,938.075,2245.515,888.306,856,2180,164,127,133.986,106.241,173.168,164.77900000000002,255,100,856,2246,5.572,121.527,0.5368
64,65,679,688,C2-Adipocites (2).tif,11237,1438.33,2361.614,876.992,1361,2304,144,124,136.924,104.491,175.051,146.24,255,100,1367,2336,153.61,112.624,0.6293
65,66,680,623,C2-Adipocites (2).tif,11302,3495.966,2118.374,934.288,3438,2053,116,138,135.218,106.42200000000001,88.36200000000001,150.655,255,100,3443,2063,133.655,115.89299999999999,0.706
66,67,681,139,C2-Adipocites (2).tif,11289,964.1360000000001,742.659,1253.509,886,674,149,135,136.525,105.28200000000001,30.354,168.074,255,100,886,780,33.596,118.976,0.5612
