 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret
6485,untitled3_green_thresh.tif:Green,1.180,26.461,12.431,8.918,25.844,11.615,1.208,1.646,1.530,0.983,83.127,1.726,0,2508,1272,71.346,1.194
6486,untitled3_green_thresh.tif:Green,1.181,10.044,7.717,11.617,9.229,7.021,1.594,1.417,1.433,1.049,30.445,1.745,0,886,779,33.311,1.232
6487,untitled3_green_thresh.tif:Green,1.181,11.348,8.243,8.430,10.552,7.542,1.521,1.708,1.374,1.094,141.683,1.901,0,1052,736,123.603,1.339
6488,untitled3_green_thresh.tif:Green,1.198,14.992,24.601,6.862,14.177,23.844,1.500,1.385,1.433,1.064,171.439,1.519,0,1361,2354,170.925,1.244
6489,untitled3_green_thresh.tif:Green,1.201,29.546,22.920,8.001,28.823,22.208,1.510,1.552,1.548,0.988,133.786,1.676,0,2793,2133,113.058,1.206
6490,untitled3_green_thresh.tif:Green,1.208,11.229,21.080,5.990,10.385,20.406,1.479,1.375,1.347,1.141,166.052,1.488,0,1024,1981,133.866,1.292
6491,untitled3_green_thresh.tif:Green,1.209,36.410,22.072,5.827,35.812,21.396,1.177,1.427,1.415,1.088,85.601,1.515,0,3480,2189,68.199,1.175
6492,untitled3_green_thresh.tif:Green,1.216,10.172,27.903,6.598,9.406,27.240,1.490,1.344,1.365,1.134,171.481,1.514,0,903,2656,167.685,1.302
6493,untitled3_green_thresh.tif:Green,1.220,9.782,23.387,6.907,8.917,22.688,1.708,1.344,1.415,1.097,169.071,1.712,0,856,2240,3.837,1.241
6494,untitled3_green_thresh.tif:Green,1.224,18.214,12.009,11.737,17.510,11.208,1.438,1.656,1.420,1.098,141.365,1.728,0,1704,1080,110.839,1.347
6495,untitled3_green_thresh.tif:Green,1.235,36.334,10.685,8.607,35.583,9.990,1.375,1.438,1.375,1.144,122.653,1.578,0,3451,964,120.120,1.287
6496,untitled3_green_thresh.tif:Green,1.254,39.559,13.689,8.303,38.823,13.021,1.552,1.396,1.401,1.139,155.336,1.559,0,3729,1291,167.264,1.278
6497,untitled3_green_thresh.tif:Green,1.279,22.210,15.132,11.559,21.292,14.302,1.667,1.656,1.409,1.156,54.566,1.690,0,2114,1528,72.793,1.435
6498,untitled3_green_thresh.tif:Green,1.286,32.775,11.843,6.811,31.990,11.198,1.490,1.479,1.306,1.255,161.057,1.529,0,3071,1109,167.005,1.295
6499,untitled3_green_thresh.tif:Green,1.289,19.550,12.363,8.172,18.875,11.542,1.292,1.583,1.558,1.054,75.051,1.680,0,1826,1248,54.338,1.200
6500,untitled3_green_thresh.tif:Green,1.295,7.316,12.693,6.388,6.531,11.938,1.542,1.458,1.490,1.106,38.889,1.577,0,627,1237,15.322,1.199
6501,untitled3_green_thresh.tif:Green,1.304,39.428,18.046,7.405,38.583,17.198,1.479,1.562,1.649,1.007,61.463,1.902,0,3705,1774,39.444,1.145
