 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,Average Diameter
2412,cells4.jpg,2306,649.241,1850.301,214.551,618,1822,60,56,57.948,50.668,151.995,62.241,255,100,621,1838,156.318,55.084,54.308
95,cells4.jpg,2308,149.6,80.632,409.446,116,45,68,66,59.637,49.275,60.004,73.164,255,100,116,86,21.656,63.385,54.456
3318,cells4.jpg,2315,1398.021,2651.343,372.032,1367,2613,69,76,70.876,41.588,44.888,96.213,255,100,1374,2689,52.177,49.463,56.232
1060,cells4.jpg,2316,2475.451,789.836,383.404,2447,755,57,70,61.869,47.662,101.487,70.257,255,100,2473,755,94.899,57,54.7655
1001,cells4.jpg,2322,741.402,745.258,301.078,707,714,62,65,55.401,53.364,175.914,70,255,100,720,723,126.87,59.885,54.3825
2272,cells4.jpg,2322,1957.08,1747.296,334.534,1925,1717,71,60,62.484,47.315,167.723,72.533,255,100,1925,1745,164.814,58.274,54.8995
2354,cells4.jpg,2323,1381.224,1815.201,357.848,1353,1778,52,74,72.607,40.736,81.651,75.432,255,100,1375,1778,104.589,50.791,56.6715
3240,cells4.jpg,2323,1510.643,2565.775,308.635,1480,2523,61,69,58.619,50.457,58.129,75.802,255,100,1485,2590,59.036,57.46,54.538
57,cells4.jpg,2324,501.733,30.469,323.806,464,8,75,50,69.533,42.555,175.607,75.802,255,100,464,29,171.656,49.424,56.044
3569,cells4.jpg,2325,2317.184,2935.416,247.563,2284,2907,65,55,59.774,49.525,13.869,65.62,255,100,2284,2934,172.117,52.494,54.6495
2774,cells4.jpg,2326,1462.996,2119.396,317.706,1433,2091,66,59,56.489,52.427,36.327,66.272,255,100,1433,2114,174.806,53.882,54.458
3141,cells4.jpg,2326,2282.258,2450.202,314.777,2247,2424,67,59,60.419,49.017,156.784,67.742,255,100,2247,2448,171.511,56.291,54.718
352,cells4.jpg,2329,489.202,310.211,253.321,457,276,60,65,60.965,48.641,125.428,71.589,255,100,472,276,118.355,50.447,54.803
2715,cells4.jpg,2329,2370.676,2082.002,419.889,2344,2040,52,76,69.658,42.57,96.381,76.942,255,100,2370,2040,98.973,51.825,56.114
2777,cells4.jpg,2330,2676.354,2122.345,256.593,2645,2092,64,60,59.768,49.636,137.282,71.589,255,100,2658,2095,131.035,54.447,54.702
1469,cells4.jpg,2336,2723.707,1083.052,279.22,2692,1052,64,69,69.678,42.686,137.34,72.125,255,100,2713,1052,106.928,46.406,56.182
2097,cells4.jpg,2338,2966.775,1580.577,321.463,2938,1549,60,68,62.955,47.285,47.95,73.817,255,100,2943,1613,54.372,53.439,55.12
1084,cells4.jpg,2340,2149.535,807.35,315.463,2120,770,59,68,66.787,44.61,130.25,79.322,255,100,2135,770,123.69,51.072,55.6985
3152,cells4.jpg,2341,3641.764,2459.329,304.291,3608,2432,69,57,61.658,48.342,19.031,69.181,255,100,3608,2460,175.855,53.073,55
1419,cells4.jpg,2343,20.357,1079.539,511.002,5,1016,44,120,96.601,30.882,95.786,120.337,255,100,9,1016,94.289,43.932,63.7415
932,cells4.jpg,2344,379.026,699.724,324.676,341,671,72,60,64.564,46.225,167.068,72.339,255,100,341,702,5.553,56.274,55.3945
1886,cells4.jpg,2344,395.646,1394.692,245.321,365,1362,64,65,67.205,44.409,48.035,70.605,255,100,366,1413,37.519,46.587,55.807
3390,cells4.jpg,2344,2777.095,2730.071,348.09,2744,2692,67,72,72.836,40.975,49.272,85.041,255,100,2746,2758,41.186,50.946,56.9055
1679,cells4.jpg,2349,483.999,1239.292,357.647,453,1205,63,68,68.219,43.842,48.586,73.824,255,100,468,1272,65.171,53.365,56.0305
1921,cells4.jpg,2352,982.716,1426.803,432.517,950,1393,66,68,59.057,50.708,11.78,70.774,255,100,977,1461,66.695,63.564,54.8825
3284,cells4.jpg,2352,1895.961,2602.357,341.948,1865,2573,67,62,59.842,50.042,177.352,70.937,255,100,1866,2606,21.501,60.517,54.942
3476,cells4.jpg,2353,3389.531,2828.245,337.161,3355,2795,66,64,56.508,53.017,71.125,70.007,255,100,3356,2820,158.199,59.15,54.7625
3420,cells4.jpg,2356,2498.578,2757.155,306.635,2468,2727,60,64,56.941,52.682,49.903,66.03,255,100,2483,2785,54.866,59.224,54.8115
1503,cells4.jpg,2357,979.279,1116.807,415.789,945,1078,61,80,65.576,45.764,69.186,80.753,255,100,982,1158,82.171,54.813,55.67
2714,cells4.jpg,2357,2164.693,2071.501,302.978,2134,2040,61,62,62.895,47.715,55.077,73.239,255,100,2134,2090,34.992,54.387,55.305
3366,cells4.jpg,2364,3738.125,2702.741,343.848,3700,2667,75,68,58.451,51.495,153.755,81.688,255,100,3701,2668,140.464,57.795,54.973
1280,cells4.jpg,2365,3672.956,941.97,312.777,3644,910,62,63,58.039,51.883,85.349,64.846,255,100,3666,973,70.168,58.585,54.961
2609,cells4.jpg,2365,3780.041,1994.125,256.25,3749,1965,62,56,57.769,52.125,6.252,62.626,255,100,3749,1987,160.408,54.688,54.947
1521,cells4.jpg,2366,1620.494,1127.066,324.676,1588,1096,69,63,58.348,51.629,40.353,69.721,255,100,1588,1139,8.246,55.058,54.9885
236,cells4.jpg,2367,1180.549,200.322,299.463,1146,172,70,58,60.89,49.495,4.666,70.029,255,100,1146,204,1.637,53.186,55.1925
