 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,Mean Diameter,,Bounding Box Area,,Bounding Box Area %,,Bins
345,Image 5.tif (green),7015,2467.603,2337.097,465.362,2424,2282,100,108,108.834,82.068,121.105,117.801,255,100,2430,2293,142.936,95.253,95.451,,10800,,0.649537037,,
270,Image 5.tif (green),7027,2229.701,1958.421,403.078,2186,1893,88,120,109.038,82.054,102.52,125,255,100,2218,1893,106.26,87.506,95.546,,10560,,0.665435606,,
165,Image 5.tif (green),7054,3006.798,1515.717,500.777,2955,1466,105,102,100.481,89.384,129.007,115.884,255,100,2967,1470,129.046,95.424,94.9325,,10710,,0.658636788,,
252,Image 5.tif (green),7086,910.101,1877.835,460.735,855,1825,113,102,96.052,93.93,7.348,114.586,255,100,855,1879,170.455,98.903,94.991,,11526,,0.614783967,,
417,Image 5.tif (green),7123,2820.768,2777.697,388.794,2771,2725,96,104,111.81,81.113,48.015,117.004,255,100,2792,2827,52.64,89.365,96.4615,,9984,,0.713441506,,
172,Image 5.tif (green),7128,1419.867,1540.755,588.919,1363,1492,128,109,118.467,76.609,4.234,129.553,255,100,1363,1536,171.119,97.315,97.538,,13952,,0.510894495,,
73,Image 5.tif (green),7378,3570.495,1156.2,513.747,3526,1095,91,131,127.281,73.805,66.88,141.905,255,100,3528,1226,60.906,86.501,100.543,,11921,,0.61890781,,
218,Image 5.tif (green),7393,951.616,1712.921,589.848,887,1662,140,100,128.725,73.126,152.631,143.391,255,100,887,1699,167.515,84.097,100.9255,,14000,,0.528071429,,
284,Image 5.tif (green),7567,2946.353,2074.942,537.404,2888,2009,117,125,101.144,95.256,35.766,126.289,255,100,2942,2134,81.806,106.22,98.2,,14625,,0.517401709,,
385,Image 5.tif (green),7568,2198.375,2555.152,403.765,2147,2498,100,114,116.675,82.587,61.903,119.549,255,100,2189,2612,72.474,88.101,99.631,,11400,,0.663859649,,
285,Image 5.tif (green),7657,1202.646,2067.007,724.032,1131,2013,164,105,150.65,64.714,20.289,171.54,255,100,1142,2118,29.703,92.768,107.682,,17220,,0.444657375,,
232,Image 5.tif (green),7746,3310.898,1772.492,873.37,3267,1710,107,141,117.474,83.955,67.153,141.174,255,100,3325,1710,92.842,107,100.7145,,15087,,0.513422152,,
217,Image 5.tif (green),7801,740.136,1719.73,665.688,670,1654,147,118,106.762,93.035,7.905,147.085,255,100,670,1722,1.948,112.252,99.8985,,17346,,0.449729044,,
372,Image 5.tif (green),7874,3125.543,2481.214,504.919,3070,2425,124,114,116.701,85.908,33.547,128.062,255,100,3070,2501,14.47,98.182,101.3045,,14136,,0.557017544,,
274,Image 5.tif (green),7944,3033.91,1996.081,477.12,2983,1934,101,126,111.256,90.913,90.763,130.74,255,100,3012,1934,111.069,100.883,101.0845,,12726,,0.624233852,,
427,Image 5.tif (green),7954,2545.307,2976.163,526.291,2487,2918,121,118,127.187,79.625,42.279,139.014,255,100,2497,3030,52.306,92.1,103.406,,14278,,0.557080824,,
359,Image 5.tif (green),7982,1848.405,2376.727,473.404,1793,2324,113,114,113.465,89.57,50.594,119.808,255,100,1825,2434,52.461,94.672,101.5175,,12882,,0.619624282,,
108,Image 5.tif (green),8134,3376.657,1335.71,502.676,3325,1264,99,134,129.199,80.16,91.323,135.204,255,100,3371,1398,82.349,95.318,104.6795,,13266,,0.613146389,,
316,Image 5.tif (green),8138,637.805,2238.627,545.304,585,2172,103,131,123.294,84.04,115.116,135.68,255,100,615,2174,109.37,92.436,103.667,,13493,,0.603127548,,
311,Image 5.tif (green),8177,2416.403,2215.051,422.149,2354,2158,111,113,104.755,99.387,53.821,116.387,255,100,2354,2217,17.501,102.4,102.071,,12543,,0.651917404,,
305,Image 5.tif (green),8212,2629.54,2192.78,536.877,2580,2135,99,134,127.853,81.78,91.187,140.769,255,100,2590,2139,112.557,98.36,104.8165,,13266,,0.619026082,,
239,Image 5.tif (green),8213,1860.597,1808.862,584.86,1792,1751,134,112,133.989,78.045,155.488,140.631,255,100,1796,1772,156.534,92.539,106.017,,15008,,0.547241471,,
415,Image 5.tif (green),8410,2957.049,2766.402,491.262,2897,2700,108,135,130.344,82.151,71.984,137.084,255,100,2931,2832,66.801,99.368,106.2475,,14580,,0.576817558,,
354,Image 5.tif (green),8424,1707.54,2368.248,424.877,1650,2316,124,104,121.159,88.526,20.119,127.224,255,100,1655,2409,20.714,94.792,104.8425,,12896,,0.653225806,,
241,Image 5.tif (green),8510,2190.057,1802.814,495.546,2121,1754,132,110,117.895,91.906,156.04,134.733,255,100,2121,1792,168.44,106.143,104.9005,,14520,,0.586088154,,
268,Image 5.tif (green),8566,2828.353,1969.733,809.813,2764,1892,146,141,120.176,90.755,142.505,153.561,255,100,2802,1899,119.236,122.748,105.4655,,20586,,0.416108035,,
190,Image 5.tif (green),8567,1819.928,1601.511,915.269,1732,1551,166,109,137.266,79.465,175.395,171.479,255,100,1732,1578,165.478,106.539,108.3655,,18094,,0.473471869,,
282,Image 5.tif (green),8742,1972.995,2046.881,421.078,1910,1995,119,105,112.634,98.821,171.401,124.338,255,100,1911,2064,25.741,99.44,105.7275,,12495,,0.699639856,,
250,Image 5.tif (green),8780,3041.015,1865.611,644.919,2985,1791,109,130,120.278,92.943,69.543,143.178,255,100,3005,1921,65.225,106.999,106.6105,,14170,,0.619618913,,
265,Image 5.tif (green),8817,795.866,1930.637,672.416,736,1861,115,128,112.979,99.365,55.368,129.557,255,100,759,1975,47.816,113.283,106.172,,14720,,0.598980978,,
313,Image 5.tif (green),8842,749.524,2233.648,530.09,700,2162,106,138,132.684,84.848,106.878,141.481,255,100,731,2164,106.001,97.294,108.766,,14628,,0.604457205,,
235,Image 5.tif (green),9026,844.22,1785.579,679.831,785,1724,114,142,121.497,94.589,80.615,144.554,255,100,840,1866,75.579,107.041,108.043,,16188,,0.557573511,,
214,Image 5.tif (green),9028,2113.426,1694.706,675.245,2046,1633,144,128,115.097,99.871,149.913,145,255,100,2046,1696,173.267,111.436,107.484,,18432,,0.489800347,,
373,Image 5.tif (green),9059,1622.049,2488.7,447.522,1565,2430,110,120,113.697,101.447,124.346,122.772,255,100,1600,2430,113.015,108.035,107.572,,13200,,0.686287879,,
135,Image 5.tif (green),9088,2492.82,1421.108,667.789,2420,1370,141,109,125.062,92.523,177.894,146.564,255,100,2420,1390,164.162,108.004,108.7925,,15369,,0.59132019,,
404,Image 5.tif (green),9144,1612.34,2687.983,417.948,1551,2634,121,106,116.942,99.558,161.884,124.326,255,100,1565,2649,140.548,105.047,108.25,,12826,,0.712926867,,
257,Image 5.tif (green),9165,2622.313,1903.243,443.948,2563,1838,110,125,122.758,95.059,68.122,133.06,255,100,2590,1963,51.407,99.281,108.9085,,13750,,0.666545455,,
213,Image 5.tif (green),9209,2580.36,1693.789,550.777,2516,1631,113,121,114.064,102.796,94.291,138.293,255,100,2536,1644,130.601,111.906,108.43,,13673,,0.673517151,,
31,Image 5.tif (green),9306,3333.305,915.72,624.576,3276,853,124,115,120.574,98.27,154.542,143.684,255,100,3289,857,132.461,107.442,109.422,,14260,,0.65259467,,
394,Image 5.tif (green),9411,3045.666,2631.681,505.019,2995,2564,97,136,127.631,93.883,79.442,140.186,255,100,3033,2700,75.964,96.934,110.757,,13192,,0.713386901,,
346,Image 5.tif (green),9448,866.591,2335.334,605.99,804,2283,124,127,118.409,101.594,127.804,137.844,255,100,804,2297,146.54,107.478,110.0015,,15748,,0.5999492,,
170,Image 5.tif (green),9540,2713.991,1554.228,716.274,2659,1480,141,166,150.652,80.628,121.312,201.936,255,100,2672,1489,128.97,102.462,115.64,,23406,,0.407587798,,
317,Image 5.tif (green),9574,2537.9,2240.936,500.777,2481,2174,112,130,123.728,98.523,105.493,133.454,255,100,2508,2182,122.142,107.95,111.1255,,14560,,0.657554945,,
407,Image 5.tif (green),9653,2105.109,2715.839,461.463,2037,2658,134,107,135.889,90.445,13.241,143.558,255,100,2039,2744,26.922,99.251,113.167,,14338,,0.67324592,,
420,Image 5.tif (green),9720,2535.219,2837.583,448.149,2484,2777,110,120,116.091,106.605,80.622,125,255,100,2488,2884,53.13,110,111.348,,13200,,0.736363636,,
79,Image 5.tif (green),9801,3340.371,1180.681,469.605,3282,1110,109,139,128.117,97.403,111.263,141.223,255,100,3340,1110,102.265,105.54,112.76,,15151,,0.646887994,,
259,Image 5.tif (green),9907,1203.945,1907.114,869.772,1138,1840,121,143,127.89,98.631,119.307,167.8,255,100,1142,1849,127.006,120.637,113.2605,,17303,,0.572559672,,
51,Image 5.tif (green),10079,3243.935,1055.956,641.061,3181,988,124,133,128.262,100.053,134.561,134.164,255,100,3224,992,116.565,114.934,114.1575,,16492,,0.611144797,,
164,Image 5.tif (green),10096,2002.22,1516.021,899.872,1926,1464,150,112,142.55,90.176,166.243,157.305,255,100,1928,1487,159.146,111.413,116.363,,16800,,0.600952381,,
215,Image 5.tif (green),10209,2330.081,1704.021,859.671,2255,1644,153,128,131.357,98.955,167.23,159.211,255,100,2266,1678,153.113,113.344,115.156,,19584,,0.521292892,,
357,Image 5.tif (green),10643,3258.863,2386.846,632.718,3196,2318,131,134,125.736,107.774,36.896,139.463,255,100,3218,2440,51.404,120.622,116.755,,17554,,0.606300558,,
61,Image 5.tif (green),10650,2511.44,1086.029,598.416,2430,1028,146,127,151.894,89.273,144.129,167.705,255,100,2447,1033,137.175,96.779,120.5835,,18542,,0.574371697,,
409,Image 5.tif (green),10714,1745.731,2726.352,485.948,1684,2665,121,122,122.98,110.924,129.877,132.008,255,100,1693,2686,139.917,116.965,116.952,,14762,,0.725782414,,
405,Image 5.tif (green),10865,1952.168,2697.569,514.576,1881,2634,142,117,137.143,100.871,5.212,142.425,255,100,1881,2688,175.57,104.627,119.007,,16614,,0.653966534,,
283,Image 5.tif (green),11076,783.228,2073.116,693.446,714,2001,128,148,146.164,96.483,64.576,169.189,255,100,714,2141,55.84,110.026,121.3235,,18944,,0.584670608,,
353,Image 5.tif (green),11128,749.283,2388.618,601.446,690,2313,124,145,125.177,113.188,105.485,146.373,255,100,742,2458,82.147,123.486,119.1825,,17980,,0.6189099,,
247,Image 5.tif (green),11487,2322.293,1845.849,1012.24,2234,1777,176,135,142.941,102.32,13.566,177.226,255,100,2234,1863,170.91,133.14,122.6305,,23760,,0.483459596,,
143,Image 5.tif (green),11777,3259.61,1462.299,776.902,3180,1393,151,143,139.217,107.709,13.989,151.119,255,100,3180,1473,177.725,137.405,123.463,,21593,,0.545408234,,
298,Image 5.tif (green),11811,1711.043,2146.281,597.304,1649,2084,129,126,123.648,121.622,170.978,145.578,255,100,1656,2202,50.295,125.68,122.635,,16254,,0.726651901,,
126,Image 5.tif (green),11972,3092.321,1392.472,774.943,2990,1334,202,112,198.595,76.755,10.643,204.247,255,100,2990,1413,13.016,96.486,137.675,,22624,,0.52917256,,
361,Image 5.tif (green),11989,965.073,2418.726,595.304,895,2346,129,142,136.329,111.971,75.69,151.222,255,100,938,2346,110.113,120.56,124.15,,18318,,0.654492849,,
236,Image 5.tif (green),12158,2020.296,1793.289,733.002,1940,1730,167,127,150.312,102.986,164.1,168.716,255,100,1940,1782,171.822,123.734,126.649,,21209,,0.573247206,,
289,Image 5.tif (green),12273,2819.129,2108.037,652.274,2752,2027,147,147,144.875,107.862,135.176,161.059,255,100,2757,2066,151.844,122.005,126.3685,,21609,,0.567957795,,
74,Image 5.tif (green),12602,2440.056,1176.052,682.375,2360,1101,158,144,153.095,104.807,138.34,174.428,255,100,2360,1130,154.169,112.151,128.951,,22752,,0.553885373,,
388,Image 5.tif (green),13229,3182.73,2600.091,598.475,3121,2519,129,167,168.355,100.049,65.084,176.709,255,100,3145,2675,55.141,113.149,134.202,,21543,,0.614074177,,
202,Image 5.tif (green),13240,2904.482,1658.181,759.772,2812,1584,165,144,136.485,123.513,15.472,170.038,255,100,2819,1709,32.755,139.716,129.999,,23760,,0.557239057,,
290,Image 5.tif (green),13314,2219.527,2101.292,519.002,2142,2034,147,142,141.338,119.939,29.251,152.118,255,100,2147,2132,24.88,126.632,130.6385,,20874,,0.637826962,,
87,Image 5.tif (green),13452,2713.032,1240.797,821.713,2633,1164,193,185,200.112,85.59,134.548,217.83,255,100,2633,1193,152.376,107.536,142.851,,35705,,0.376753956,,
338,Image 5.tif (green),13526,2346.332,2334.211,555.061,2282,2258,127,151,146.115,117.865,110.326,154.019,255,100,2330,2258,104.668,123.335,131.99,,19177,,0.705324086,,
352,Image 5.tif (green),14549,2196.791,2389.826,574.032,2125,2311,149,162,149.772,123.684,101.462,167.61,255,100,2167,2311,104.865,133.141,136.728,,24138,,0.602742564,,
271,Image 5.tif (green),14704,2353.863,1987.038,609.831,2282,1916,146,142,143.336,130.614,17.821,158.041,255,100,2303,2053,48.848,137.041,136.975,,20732,,0.709241752,,
209,Image 5.tif (green),14949,2710.183,1691.402,744.215,2644,1621,144,160,139.767,136.181,61.062,164.268,255,100,2655,1746,42.039,142.366,137.974,,23040,,0.648828125,,
147,Image 5.tif (green),15090,2882.221,1482.106,1051.11,2783,1399,197,169,142.145,135.166,55.847,203.022,255,100,2783,1465,18.078,157.463,138.6555,,33293,,0.453248431,,
312,Image 5.tif (green),15167,2168.26,2235.972,757.068,2071,2161,201,157,200.972,96.089,151.373,216.696,255,100,2076,2206,150.714,110.893,148.5305,,31557,,0.480622366,,
242,Image 5.tif (green),15791,2502.98,1828.814,1061.737,2387,1755,220,146,184.78,108.809,12.72,220.581,255,100,2387,1832,4.16,139.317,146.7945,,32120,,0.491625156,,
230,Image 5.tif (green),16424,2918.596,1810.159,1216.566,2828,1709,219,182,204.979,102.019,33.367,251.34,255,100,2837,1879,34.955,148.348,153.499,,39858,,0.412062823,,
77,Image 5.tif (green),16552,3236.583,1225.266,1089.838,3147,1109,179,278,251.312,83.859,116.923,303.488,255,100,3183,1109,114.116,141.764,167.5855,,49762,,0.332623287,,
424,Image 5.tif (green),16862,2686.012,2881.607,654.759,2607,2804,157,154,151.397,141.809,39.127,165.895,255,100,2650,2952,55.065,147.658,146.603,,24178,,0.697410869,,
156,Image 5.tif (green),17653,2576.982,1523.834,1112.382,2486,1421,193,187,188.127,119.475,50.583,227.759,255,100,2504,1584,43.577,165.183,153.801,,36091,,0.489124713,,
334,Image 5.tif (green),18370,1289.146,2328.108,944.742,1167,2246,203,178,156.161,149.778,158.462,203.63,255,100,1167,2331,4.507,172.811,152.9695,,36134,,0.508385454,,
111,Image 5.tif (green),18626,2654.377,1357.092,1080.583,2558,1266,220,193,213.176,111.248,141.691,254.88,255,100,2578,1286,141.691,143.158,162.212,,42460,,0.438671691,,
286,Image 5.tif (green),19381,2438.197,2098.649,1025.453,2303,2021,254,146,238.896,103.295,5.958,255.539,255,100,2303,2125,6.291,144.937,171.0955,,37084,,0.522624312,,
343,Image 5.tif (green),22941,1123.457,2365.502,1014.139,1008,2279,241,170,223.227,130.851,153.042,253.002,255,100,1008,2343,162.281,163.037,,,,,,,
153,Image 5.tif (green),23852,1707.179,1501.112,1143.352,1586,1412,245,187,231.417,131.232,28.36,253.002,255,100,1592,1576,19.151,157.642,,,,,,,
369,Image 5.tif (green),25923,2447.011,2496.253,1085.252,2337,2383,221,208,213.182,154.826,17.622,225.535,255,100,2337,2511,11.509,183.916,,,,,,,
84,Image 5.tif (green),26487,2901.724,1260.849,1355.762,2764,1156,253,240,260.256,129.581,140.548,306.139,255,100,2782,1156,129.566,181.619,,,,,,,
375,Image 5.tif (green),26495,1070,2578.05,1500.573,974,2440,212,242,212.587,158.685,71.418,254.201,255,100,983,2647,37.005,193.347,,,,,,,
136,Image 5.tif (green),27120,871.264,1502.001,1131.411,784,1372,177,256,237.429,145.434,89.253,259.28,255,100,841,1377,104.519,170.182,,,,,,,
301,Image 5.tif (green),31224,1906.047,2214.815,1451.36,1775,2101,280,205,244.434,162.644,177.364,281.187,255,100,1775,2204,172.85,201.159,,,,,,,
192,Image 5.tif (green),35148,1101.045,1696.058,2333.031,977,1557,273,306,277.071,161.517,55.607,351.063,255,100,1025,1860,59.344,230.698,,,,,,,
256,Image 5.tif (green),35797,1772.991,1970.789,1860.823,1602,1833,322,242,272.088,167.512,17.348,326.933,255,100,1603,2037,10.932,226.6,,,,,,,
59,Image 5.tif (green),38809,3050.234,1160.001,1798.254,2927,1023,250,327,261.484,188.972,93.66,334.215,255,100,3083,1350,75.797,236.359,,,,,,,
260,Image 5.tif (green),46693,2061.421,1987.555,1926.077,1903,1846,282,343,296.933,200.218,103.988,362.774,255,100,1940,1846,109.484,265.895,,,,,,,
