 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,Mean Diameter,,Bounding Box Area,,Bounding Box Area %,,Bins
44,Image 5.tif (green),168,3693.387,955.613,50.627,3687,948,14,16,16.59,12.894,119.976,18.868,255,100,3688,948,122.005,14,,,,,,,
356,Image 5.tif (green),169,2676.317,2328.287,71.698,2668,2317,18,22,20.517,10.488,69.902,25.239,255,100,2672,2338,56.31,15.522,,,,,,,
237,Image 5.tif (green),172,3160.023,1742.86,60.385,3153,1735,17,16,16.137,13.571,157.81,21.26,255,100,3154,1735,138.814,16,,,,,,,
75,Image 5.tif (green),175,1641.329,1117.9,85.598,1635,1103,15,31,24.873,8.958,101.966,32.573,255,100,1637,1103,107.879,13.233,,,,,,,
371,Image 5.tif (green),175,409.089,2426.357,63.698,401,2416,15,21,19.631,11.35,101.086,21.587,255,100,406,2437,76.608,14.284,,,,,,,
121,Image 5.tif (green),176,2489.176,1333.284,87.799,2477,1316,17,30,24.556,9.126,78.536,32.696,255,100,2477,1346,66.571,14.327,,,,,,,
363,Image 5.tif (green),176,541.091,2365.705,69.213,530,2357,20,16,21.713,10.321,153.573,23.854,255,100,530,2360,146.976,14.91,,,,,,,
302,Image 5.tif (green),182,1267.769,2122.148,95.113,1256,2104,24,28,24.074,9.626,41.5,34.409,255,100,1260,2132,54.462,15.545,,,,,,,
412,Image 5.tif (green),183,2899.025,2700.74,76.527,2886,2693,27,17,20.053,11.619,153.14,28.16,255,100,2886,2693,163.496,13.984,,,,,,,
1,Image 5.tif (green),188,3584.697,621.787,87.355,3578,606,17,30,20.196,11.852,86.003,30.414,255,100,3578,636,80.538,17,,,,,,,
34,Image 5.tif (green),188,2999.904,881.851,67.456,2988,875,21,14,19.439,12.314,176.8,23.707,255,100,2988,887,27.646,14,,,,,,,
163,Image 5.tif (green),188,1479.543,1468.016,74.527,1466,1460,26,15,18.271,13.101,1.097,27.514,255,100,1466,1475,19.093,15,,,,,,,
161,Image 5.tif (green),189,988.981,1466.373,77.355,979,1455,21,24,21.256,11.321,139.775,26.926,255,100,985,1456,121.329,14.957,,,,,,,
91,Image 5.tif (green),190,1692.868,1186.095,110.184,1674,1176,37,15,28.835,8.39,3.658,37.054,255,100,1674,1189,3.094,14.644,,,,,,,
69,Image 5.tif (green),191,1631.976,1077.673,69.456,1624,1068,17,21,17.98,13.526,122.865,22.023,255,100,1624,1068,140.528,16.719,,,,,,,
330,Image 5.tif (green),192,1263.719,2238,80.527,1250,2231,25,15,23.77,10.285,9.151,27.731,255,100,1250,2246,25.641,13.481,,,,,,,
48,Image 5.tif (green),196,1963.668,981.434,84.87,1948,972,27,20,20.858,11.964,159.879,27.074,255,100,1948,982,175.764,18.931,,,,,,,
229,Image 5.tif (green),196,2789.597,1706.571,65.799,2782,1697,15,22,19.921,12.527,91.778,23.409,255,100,2786,1719,70.017,14.208,,,,,,,
109,Image 5.tif (green),198,1881.182,1271.712,72.87,1866,1265,26,15,24.63,10.235,164.442,26.571,255,100,1866,1271,160.201,13.187,,,,,,,
173,Image 5.tif (green),199,751.354,1505.259,88.042,742,1493,16,29,25.486,9.942,97.161,30.871,255,100,742,1494,114.905,16,,,,,,,
155,Image 5.tif (green),200,1203.18,1430.205,86.87,1195,1417,19,22,18.62,13.676,148.896,26.173,255,100,1196,1417,133.452,18.926,,,,,,,
174,Image 5.tif (green),206,3418.481,1502.063,66.284,3410,1493,17,22,17.073,15.363,55.838,22.204,255,100,3414,1493,97.765,16.62,,,,,,,
140,Image 5.tif (green),210,1705.329,1394.995,106.184,1689,1382,27,27,23.052,11.599,138.39,34.828,255,100,1694,1382,129.174,19.362,,,,,,,
35,Image 5.tif (green),211,3407.41,897.955,92.426,3400,883,18,28,23.675,11.348,73.57,31.765,255,100,3400,911,61.821,17.665,,,,,,,
144,Image 5.tif (green),212,1230.415,1407.184,91.941,1223,1395,20,26,22.395,12.053,65.118,31.401,255,100,1224,1421,52.765,16.807,,,,,,,
45,Image 5.tif (green),214,3259.009,958.678,118.426,3242,951,30,17,22.237,12.253,176.344,31.78,255,100,3243,951,155.854,17,,,,,,,
423,Image 5.tif (green),220,2446.755,2805.164,83.113,2434,2794,26,20,28.11,9.965,32.433,30.61,255,100,2434,2813,38.367,13.396,,,,,,,
17,Image 5.tif (green),221,3297.057,807.776,96.77,3288,788,17,31,25.28,11.131,87.667,32.28,255,100,3289,819,73.811,16.709,,,,,,,
196,Image 5.tif (green),221,3244.124,1581.645,81.113,3235,1570,19,26,22.311,12.612,65.862,26.401,255,100,3243,1596,65.376,18.043,,,,,,,
