, ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,area_bbx_ratio
48,49,hfd28 ep1 tip.tif  (red) thresh.tif,11268,2983.241,307.905,1166.448,2899,251,183,124,163.336,87.837,18.89,186.55,255,100,2901,330,15.228,116.087,0.4966
49,50,hfd28 ep1 tip.tif  (red) thresh.tif,7189,2286.157,325.633,615.286,2223,273,114,115,102.665,89.15700000000001,144.41899999999998,119.62,255,100,2223,311,156.864,100.948,0.5484
50,51,hfd28 ep1 tip.tif  (red) thresh.tif,3113,2122.611,329.67800000000005,667.328,2074,282,89,107,76.025,52.135,98.214,107.229,255,100,2119,282,93.743,80.438,0.3269
51,52,hfd28 ep1 tip.tif  (red) thresh.tif,3583,3136.4570000000003,319.60400000000004,467.30400000000003,3093,283,85,75,74.165,61.512,2.1830000000000003,85.094,255,100,3093,315,2.694,73.245,0.562
52,53,hfd28 ep1 tip.tif  (red) thresh.tif,4579,2406.584,333.219,616.073,2351,285,115,109,116.891,49.876999999999995,50.708999999999996,147.868,255,100,2352,393,43.082,73.933,0.3653
53,54,hfd28 ep1 tip.tif  (red) thresh.tif,39259,1859.402,511.64599999999996,4195.843,1695,288,307,435,332.50199999999995,150.333,62.545,471.73699999999997,255,100,1719,723,65.717,258.623,0.294
54,55,hfd28 ep1 tip.tif  (red) thresh.tif,4889,2694.14,343.722,422.291,2651,292,82,97,95.677,65.061,56.21,105.43700000000001,255,100,2657,380,54.652,68.112,0.6147
55,56,hfd28 ep1 tip.tif  (red) thresh.tif,9461,1763.119,372.829,924.423,1658,327,191,96,186.325,64.65100000000001,5.5729999999999995,191.09400000000002,255,100,1658,379,178.201,92.265,0.516
56,57,hfd28 ep1 tip.tif  (red) thresh.tif,3334,3055.098,367.18800000000005,654.014,3005,332,97,76,71.964,58.986999999999995,5.692,100.42399999999999,255,100,3005,391,15.005,75.26899999999999,0.4523
57,58,hfd28 ep1 tip.tif  (red) thresh.tif,4162,2762.6540000000005,372.475,387.12,2717,333,92,81,93.928,56.418,43.918,111.521,255,100,2717,409,39.542,64.859,0.5585
58,59,hfd28 ep1 tip.tif  (red) thresh.tif,6230,2058.256,404.356,811.512,2001,341,112,119,100.584,78.862,110.708,123.00399999999999,255,100,2036,346,115.523,93.74799999999999,0.4674
59,60,hfd28 ep1 tip.tif  (red) thresh.tif,30578,2781.455,469.096,2824.199,2597,342,316,259,251.16400000000002,155.011,171.963,339.912,255,100,2602,408,152.681,245.27700000000002,0.3736
60,61,hfd28 ep1 tip.tif  (red) thresh.tif,11029,2514.185,407.77099999999996,705.7130000000001,2449,344,135,127,130.109,107.929,147.407,150.047,255,100,2473,346,123.584,115.57700000000001,0.6433
61,62,hfd28 ep1 tip.tif  (red) thresh.tif,9464,3194.41,429.714,748.825,3135,349,116,179,168.59799999999998,71.471,107.398,180.602,255,100,3185,349,97.637,96.301,0.4558
62,63,hfd28 ep1 tip.tif  (red) thresh.tif,5817,2212.493,405.523,757.227,2158,350,116,122,92.37100000000001,80.182,101.551,126.384,255,100,2193,350,105.13600000000001,101.01899999999999,0.411
63,64,hfd28 ep1 tip.tif  (red) thresh.tif,4077,3668.759,398.978,410.233,3631,357,84,87,74.92,69.28699999999999,42.515,87.281,255,100,3658,357,94.6,77.55199999999999,0.5579
64,65,hfd28 ep1 tip.tif  (red) thresh.tif,19156,3744.027,475.38699999999994,1683.249,3630,373,247,216,258.112,94.495,38.389,274.133,255,100,3652,589,41.599,130.01,0.359
65,66,hfd28 ep1 tip.tif  (red) thresh.tif,5803,2965.802,418.88599999999997,535.1030000000001,2907,376,115,95,99.78200000000001,74.047,176.983,118.6,255,100,2907,455,14.152999999999999,93.947,0.5312
66,67,hfd28 ep1 tip.tif  (red) thresh.tif,13699,3069.115,477.973,1084.306,2983,386,168,185,181.74900000000002,95.96799999999999,43.887,204.083,255,100,3012,561,59.036,120.5,0.4408
67,68,hfd28 ep1 tip.tif  (red) thresh.tif,9191,3341.777,446.57599999999996,966.222,3243,401,182,90,174.324,67.13,175.202,185.58599999999998,255,100,3244,416,167.237,88.21799999999999,0.5611
